# Cortical laminar thicknesses from a number of published experimental studies (see supplement of Schmidt et al. (2017) for details)

area	L1	L2	L3	L2/3	L4A	L4B	L4Calpha	L4Cbeta	L4C	L4	L5	L6	L5/6	total_without_L1	total	source	note
6V	160			720						170	530					Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 10. minimal thickness of L6 can also be taken from here
PrCO	220			860						220						Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 10. minimal thickness of L5+6 can also be taken from here
OFO	150			640						220						Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 10. minimal thickness of L5+6 can also be taken from here
13L	110			590						155	360					Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 12. minimal thickness of L6 can also be taken from here
13M	100			730						130	320					Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 12. minimal thickness of L6 can also be taken from here
14L	110			440						150						Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 13. minimal thickness of L5+6 can also be taken from here
14VL	200			550						130	190	190		1060	1260	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 13. 
14A	170			670						120	270	250		1310	1480	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 13. 
PL	200			520						0	410	660		1590	1790	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 15
IL	160			840						170	280	340		1630	1790	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 15
MF	150			630						190	240	460		1520	1670	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 15
45	170			720						210			740	1670	1840	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 17. corresponds to lateral FEF
8Ac	150			610						220	330					Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 17
8Ar	140			460						140	310					Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 17
8Am	190			780						170	300	430		1680	1870	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 17. Corresponds to medial FEF
8Bd	120			790						135			1760	2805	2685	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 18
8Bm	180			620						130	310	1190		2250	2430	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 18
9d	120			740						220	570	800		2330	2450	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 19
9m	160			740						150	500	900		2290	2450	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 19
46dr	185			1080						290						Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 20. Assumed the scale bar was 500 micrometers
46d	230			800						250	250	415		1715	1945	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 20. Assumed the scale bar was 500 micrometers
46v	215			715						170	280	290		1455	1670	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 20. Assumed the scale bar was 500 micrometers
46vr	140			690						230	520					Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 20. Assumed the scale bar was 500 micrometers
12vl	170			700						180	370	960		2210	2380	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	Estimated from Fig. 21
12orb	170			730						210	320	380		1640	1810	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 21
10	260			960						260	395	835		2450	2710	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 22
46r	180			625						120	180	240		1165	1345	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 22
11	170			700						110	260	330		1400	1570	Preuss and Goldman-Rakic (1991) – Myelo- and cytoarchitecture of the granular frontal cortex and surrounding regions in the strepsirhine primate Galago and the anthropoid primate Macaca	estimated from Fig. 22
FEF	195	175	655	830						310	335	315	650	1790	1985	Boussaoud et al. (1990) – Pathways for motion analysis...	Fig. 18
PF																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	estimated from Fig. 3. Rozzi writes that this is the rostral part of FvE area 7b – not visual.
PFG																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	estimated from Fig. 3. Rozzi writes that this may correspond to the caudal part of FvE area 7b (but definition is tricky) – not visual.
PG																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	estimated from Figs 3, 8 and 14. according to Pandya and Seltzer (1982), PG and Opt are both parts of 7a. Rozzi writes that this may be the rostral part of 7a (but definition is tricky). I'm not sure how this is compatible with Max's scheme translation, where Pga corresponds to STPp and STPa. He also translates Ipa to STPp and STPa, but Rozzi et al. State that Ipa is ventral to STPa.
Opt																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	estimated from Figs 3 and 11. according to Pandya and Seltzer (1982), PG and Opt are both parts of 7a. Rozzi writes that Opt is the caudal part of 7a. 
LIP	123			486						118	105	536		1245	1368	Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	Fig. 8
Pgm																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	Fig. 8
MST	227			847						119	131	290	421	1387	1614	Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	Fig. 14. See also Figs 8 and 11.
STP	70			670						170	437	530	967	1807	1877	Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	Fig. 8
Ipa																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	Figs 8 and 11. Rozzi: Ipa is the fundal region of the sulcus ventral to STPa.
Tepv																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	Fig. 8
F7																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	Fig. 8
F5																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	Figs 8, 11 and 14
45																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	Fig. 8
SII																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	Figs 11 and 14
23c																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	Fig. 11
Tpt																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	Fig. 11. 69.2% of Tpt is STPp
F2																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	Fig. 11 and 14
46v																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	Fig. 11 and 14
Pea																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	Fig. 14
Tem																Rozzi et al. (2006) – Cortical connections of the inferior parietal cortical convexity of the macaque monkey	Fig. 14
F1																Matelli et al. (1991) – Architecture of superior and mesial area 6 and the adjacent cingulate cortex in the macaque monkey	
F2																Matelli et al. (1991) – Architecture of superior and mesial area 6 and the adjacent cingulate cortex in the macaque monkey	
F3																Matelli et al. (1991) – Architecture of superior and mesial area 6 and the adjacent cingulate cortex in the macaque monkey	
F6																Matelli et al. (1991) – Architecture of superior and mesial area 6 and the adjacent cingulate cortex in the macaque monkey	
F7																Matelli et al. (1991) – Architecture of superior and mesial area 6 and the adjacent cingulate cortex in the macaque monkey	
23																Matelli et al. (1991) – Architecture of superior and mesial area 6 and the adjacent cingulate cortex in the macaque monkey	
24																Matelli et al. (1991) – Architecture of superior and mesial area 6 and the adjacent cingulate cortex in the macaque monkey	
TE	164			532						350						Distler et al. (1993) – Cortical connections of inferior temporal area TEO in macaque monkeys	Fig. 6D; From this paper: TEO corresponds roughly to PITv and VOT. Tanigawa et al. (1998) – Distribution, morphology, … also has many micrographs of TE with layer indications, but no precise indications of which parts of TE are shown.
3b																Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 7
5																Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 7
S2																Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 7
7b																Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 10
7a-l																Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 10
7a-m																Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 10
7op																Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 10
LIP	180			720						170	180	140		1210	1390	Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 12
VIP	160			740						180	130	100		1150	1310	Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 12
7m																Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 12
31																Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 12
Tpt																Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 14
Ipa																Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 14
Tem																Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 14
Tec																Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 14
MT	140			640						210	240	270		1360	1500	Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 18
TF	270			760						240			700	1700	1970	Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 18
TH	180			420						150	370	170		1110	1290	Preuss and Goldman-Rakic (1991) – Architectonics of the parietal and temporal association cortex in the strepsirhine primate Galago compared to the anthropoid primate Macaca	Fig. 18
V6	162	152	466	618						152	155					Passarelli et al. (2011) – Cortical connections of area V6Av in the macaque: a visual-input node to the eye/hand coordination system	Fig. 4. Area definition according to Galletti. Could use average of V6, V6Av and V6Ad for PO?
V6Av	145	124	407	531						221	214	455	669	1421	1566	Passarelli et al. (2011) – Cortical connections of area V6Av in the macaque: a visual-input node to the eye/hand coordination system	Fig. 4. Area definition according to Galletti.
V6Ad	114	162	476	638						203	166	410	576	1417	1531	Passarelli et al. (2011) – Cortical connections of area V6Av in the macaque: a visual-input node to the eye/hand coordination system	Fig. 4. Area definition according to Galletti.
46	130			425						85			350	860	990	Petrides and Pandya (1999) – Dorsolateral prefrontal cortex: comparative cytoarchitectonic analysis in the human and the macaque brain and corticocortical connection patterns	Fig. 7
7m																Eggan & Lewis (2007) – Immunocytochemical distribution of the cannabinoid CB1 receptor in the primate neocortex: a regional and laminar analysis	Fig. 4
FST?																Eggan & Lewis (2007) – Immunocytochemical distribution of the cannabinoid CB1 receptor in the primate neocortex: a regional and laminar analysis	Fig. 5C 
V1	59	173	222	395	62	155	150	83		450	173	181		1200	1259	Eggan & Lewis (2007) – Immunocytochemical distribution of the cannabinoid CB1 receptor in the primate neocortex: a regional and laminar analysis	Fig. 5B
upper bank of rostral STS																Saleem et al. (2000) – Connections between anterior inferotemporal cortex and superior temporal sulcus regions in the macaque monkey	This may correspond to STPa. Fig. 6: camera lucida drawings with layer boundaries; Fig. 7: layer indications without boundaries
lower bank of middle STS																Saleem et al. (2000) – Connections between anterior inferotemporal cortex and superior temporal sulcus regions in the macaque monkey	Fig. 6: camera lucida drawings with layer boundaries; Fig. 7: layer indications without boundaries
lower bank of rostral STS																Saleem et al. (2000) – Connections between anterior inferotemporal cortex and superior temporal sulcus regions in the macaque monkey	Fig. 7, layer indications without boundaries
STP	121	182	403	585						262	371	256	627	1474	1595	Cipolloni and Pandya (1989) – Connectional analysis of the ipsilateral and contralateral afferent neurons of the superior temporal region in the rhesus monkey	Fig. 2
8/FEF																Gerbella et al. (2007) – Multimodal architectonic subdivision of the caudal ventrolateral prefrontal cortex of the macaque monkey	Fig. 8
45B																Gerbella et al. (2007) – Multimodal architectonic subdivision of the caudal ventrolateral prefrontal cortex of the macaque monkey	Fig. 8
45A																Gerbella et al. (2007) – Multimodal architectonic subdivision of the caudal ventrolateral prefrontal cortex of the macaque monkey	Fig. 8
8r																Gerbella et al. (2007) – Multimodal architectonic subdivision of the caudal ventrolateral prefrontal cortex of the macaque monkey	Fig. 8
46v																Gerbella et al. (2007) – Multimodal architectonic subdivision of the caudal ventrolateral prefrontal cortex of the macaque monkey	Fig. 8
12																Gerbella et al. (2007) – Multimodal architectonic subdivision of the caudal ventrolateral prefrontal cortex of the macaque monkey	Fig. 8
FST	354	232	390	622						122			384	1128	1482	Lavenex et al. (2002) – Perirhinal and parahippocampal cortices of the macaque monkey: projections to the neocortex	Fig. 15, called STSf (floor of superior temporal sulcus) in the paper
TE																Lavenex et al. (2002) – Perirhinal and parahippocampal cortices of the macaque monkey: projections to the neocortex	Fig. 15. Atlas: Von Bonin & Bailey, 1947
TEO	128	183	274	557						128	268	274	542	1227	1355	Lavenex et al. (2002) – Perirhinal and parahippocampal cortices of the macaque monkey: projections to the neocortex	Fig. 15. Atlas: Von Bonin & Bailey, 1947
STG																Lavenex et al. (2002) – Perirhinal and parahippocampal cortices of the macaque monkey: projections to the neocortex	Fig. 16
STSd																Lavenex et al. (2002) – Perirhinal and parahippocampal cortices of the macaque monkey: projections to the neocortex	Fig. 16
24																Lavenex et al. (2002) – Perirhinal and parahippocampal cortices of the macaque monkey: projections to the neocortex	Fig. 16
23/30																Lavenex et al. (2002) – Perirhinal and parahippocampal cortices of the macaque monkey: projections to the neocortex	Fig. 16
7																Lavenex et al. (2002) – Perirhinal and parahippocampal cortices of the macaque monkey: projections to the neocortex	Fig. 16
11																Lavenex et al. (2002) – Perirhinal and parahippocampal cortices of the macaque monkey: projections to the neocortex	Fig. 17
13																Lavenex et al. (2002) – Perirhinal and parahippocampal cortices of the macaque monkey: projections to the neocortex	Fig. 17
46																Lavenex et al. (2002) – Perirhinal and parahippocampal cortices of the macaque monkey: projections to the neocortex	Fig. 17
Ig																Lavenex et al. (2002) – Perirhinal and parahippocampal cortices of the macaque monkey: projections to the neocortex	Fig. 17
Pi																Lavenex et al. (2002) – Perirhinal and parahippocampal cortices of the macaque monkey: projections to the neocortex	Fig. 17
