#Taken from Cocomac database (www.cocomac.org), the distances between any two voxels of two areas is computed, binned in a histogramm and the median of the distribution is taken as the inter-areal distance

	V3	FST	PO	PITd	1	Ri	2	FEF	3a	3b	45	V3A	AUD	MT	13	25	L	RL	Pall	Pro	PaS	TF	AITd	AITv	36	ER	35	MIP	PS	24	TH	23	6	29	7b	STPp	46	S	MSTl	DP	LIP	SMA	MDP	7a	VIP	9	5	4	PIP	V4t	CITv	Ig	V4	PrS	CM	SII	11	32	10	MSTd	12	Id	30	G	PA	14	AI	CA1	PITv	PIR	CITd	VOT	V2	V1	VP	STPa	MW	[???]	[??]	CA3	PAC
45	54.4038230666	32.5832450817	52.934475968	42.3971872085	32.2729247139	30.6913445915	33.4779295894	10.4568263762	31.5676997242	30.3076428918	0	50.4140939785	35.1982518812	41.4457172971	16.4012639928	20.8162888051	29.1880800367	26.089741952	21.2461648503	17.0613225801	41.5440897796	42.2998055837	34.9100572317	36.4859332069	33.0461562472	33.6567853233	31.8357009838	50.5580591461	40.1057145174	25.0506474003	42.3172597735	41.4326081692	17.3264896145	43.1243961531	33.6613131927	35.0833398407	10.2515906413	38.7458905998	35.6712688099	51.0951991321	43.7146186597	24.7674044464	52.2462455544	43.8488610282	41.650147564	17.7281438537	43.0202135417	26.3025144256	47.5462511828	43.8143777398	39.663148455	21.8820650312	49.1995801821	40.0856960349	31.260991402	23.4421768787	11.2060221177	19.0050886339	17.7853526859	40.4694402182	7.2650443153	15.9471975012	46.91216391	13.2683853371	24.853969927	18.566251156	28.5450819627	36.9890197963	42.2638655856	24.2166041079	37.6666089877	44.5282301077	57.797916972	61.3485471781	51.4036739695	29.3865929258	nan	nan	nan	34.5122254232	28.730434804
V3A	8.1395887285	25.5810478817	14.9705058178	23.5457010493	29.4531103103	21.2109783424	27.5408885575	45.8452781696	27.3838995376	28.2415499227	50.4140939785	0	24.0482322539	12.3664878838	46.4797634642	46.1809977351	30.3963015673	31.4198082901	41.4440823861	42.9704110468	31.3071902791	24.7055857525	40.3604331066	38.146439048	43.4433471783	43.1913257557	47.6025236459	16.2996127244	17.8102960176	33.5686343865	25.1020717422	21.0411950403	40.7061709714	18.0090919468	23.0495339918	28.066662981	51.7856300563	30.294703927	18.9372308927	9.3641766312	14.6238910061	36.2224329197	21.2123169614	14.4564129167	13.765719466	51.0520384725	21.2258161442	33.632651242	9.2287932714	13.3550438117	32.6738478002	32.657848135	15.6244622431	28.1689117543	24.1232477989	30.6322505057	48.9358819576	52.8078612594	57.5010636815	15.3985014753	48.4938628765	36.661624271	16.3746910932	41.0599974701	28.1413812188	52.4108716958	24.0830385454	29.201733257	26.8498632976	42.4826029253	30.9920416974	23.3922009205	18.1788343681	16.807949694	19.0451007577	37.051039829	nan	nan	nan	32.16899069	39.898386401
AUD	27.749612948	14.0612700453	29.0848451149	20.8020346402	23.9057215668	12.9368621014	22.5452631181	32.327997632	21.7601279839	22.4563902269	35.1982518812	24.0482322539	0	15.8336675977	32.4156850478	33.5960547787	11.537168142	13.7981657702	28.199052374	27.7688765271	25.6434870379	22.3667329235	26.354752817	25.7213486501	28.6391584774	30.7766008386	32.0491112929	28.5903899418	19.427308685	29.5363109597	23.6276703578	25.4747264234	29.8336132871	23.4247904369	17.0543047644	11.4302411553	37.7440776782	22.5894045259	11.3936474768	25.5832770332	19.9859284401	31.1715472258	32.10551889	17.9132288025	19.1134363204	39.8001002169	24.2497992554	26.5288190165	23.3700015767	18.0917924227	23.1913238419	15.8942064141	23.8524309053	23.7531738025	9.5700862868	18.8033381317	34.1326200619	40.0739801568	44.0385454903	11.6374475917	33.1687995118	20.511615241	25.9003252347	25.0571042392	13.249824458	39.0659624203	11.2645242056	20.4118181751	22.2690799804	27.3036234313	20.6868395548	22.6596061625	32.0030591169	35.3125220256	26.9347263918	20.7438159931	nan	nan	nan	20.8236750861	27.2392249116
MT	15.9317644398	14.1700382029	19.0678352327	13.1022767764	24.7979943135	14.3809332103	22.9755150305	37.9156104951	23.0416592354	23.6029836933	41.4457172971	12.3664878838	15.8336675977	0	37.4049553559	37.8669893226	19.1521030688	20.0919382945	32.0118670259	32.9838840719	21.7786850546	15.8416416759	28.4182027845	26.6219832601	31.7687375162	32.5676872687	36.0532089006	19.9583944248	11.5999381407	29.0408197703	17.0829235378	20.4802691295	34.2922944587	15.8091894832	18.1332979244	18.0733940851	43.9361894908	20.7766355685	8.1530907826	16.5952856787	16.0253907863	32.1695333847	23.9004060186	15.5422776941	13.7461151272	44.5245202462	20.4974570267	28.9547126357	13.2292475985	5.9737481573	21.6446715934	22.0669025026	11.434621176	19.2232027969	13.7339631247	22.7881662168	39.8652899073	45.0474297005	49.941153313	9.9770469819	39.4897456569	26.6979417083	17.1869694392	31.330893522	17.8002921308	44.1046295762	14.0171762008	19.0117072015	16.3347216177	31.5712601771	19.5317290015	13.734884095	19.9910761357	22.5474229962	14.8572711638	25.4539990677	nan	nan	nan	21.4413195813	29.6745193729
13	50.2260194569	28.0452851475	47.1608972788	37.6458639533	32.0591540955	28.6488455401	33.330013842	16.3476981695	30.2480187982	30.0337824747	16.4012639928	46.4797634642	32.4156850478	37.4049553559	0	6.5584262231	25.7485624836	22.7054855471	8.2167753137	8.1323844267	32.0260256899	35.580597215	27.8883172505	29.4927865238	25.3199392618	23.7551759437	23.9748728506	45.8225302845	33.5060921105	21.0191987851	34.8888942471	36.9154053459	18.5649121456	35.9781341223	33.413757833	31.7655200226	14.5616974819	31.2560665452	32.1778001963	47.6944312566	40.8667251175	23.4616703807	47.6034984398	41.7998404604	37.7734224604	18.0917565495	39.9243224347	26.3415226728	42.5144217173	39.8435516852	33.722554174	20.051656278	44.9988838947	31.9301755949	28.5119609606	23.1929693031	7.0921634891	10.6507432976	16.0168894269	37.3309095454	11.2630339647	15.751224411	40.2330311843	15.0364414272	22.6273863075	8.9486997068	25.6397553396	29.9054714262	37.3048563059	15.189069597	31.9751827474	39.6755738924	52.4841149312	56.4960219314	46.2835298416	23.7082308621	nan	nan	nan	26.755795011	17.6504032727
25	49.8158647194	29.6344463889	45.9608108088	38.7161383635	33.595932895	29.6147832165	34.6054672245	19.4131248076	29.77760693	31.4786676176	20.8162888051	46.1809977351	33.5960547787	37.8669893226	6.5584262231	0	28.3336410643	25.2792988615	8.2507123638	11.156519375	32.3492717865	36.0763551756	30.4050337413	31.5656573338	27.0844705881	24.6751669356	26.358358036	44.4545215778	32.9536360096	19.8395281977	34.9619089039	35.7040225796	20.0249323152	34.9350083503	34.7685077969	33.5384961982	17.4608010313	31.5008161789	33.2551633198	47.0126200172	40.8378961967	23.0473671746	46.228759785	41.95337066	37.3809523893	19.0375082125	39.0001686943	27.251634105	41.8039977808	40.4543175606	35.6743056847	22.8086710167	45.4729361022	31.7292437315	30.0712646981	25.2737177434	11.2458613286	9.460391595	16.7458089551	37.6380559958	15.5572871361	18.9117397495	39.0456921517	18.8641581512	24.7334841567	8.382440345	27.0533336272	30.4993862989	38.9892000609	17.2551024518	33.9945136628	41.1629636443	52.0454432694	55.8869896138	46.6763332339	26.3501496509	nan	nan	nan	27.3880755405	18.119711974
L	34.1387780997	8.6916796407	34.8783881158	18.2001474211	25.2055069356	16.1379457885	25.1150561599	27.6176708202	24.2140908816	23.5083551302	29.1880800367	30.3963015673	11.537168142	19.1521030688	25.7485624836	28.3336410643	0	4.3506404927	21.539728056	20.0495715753	21.1443133151	18.7703308155	17.6826280591	16.9741881545	19.0704264676	21.9464024814	21.7115751338	34.8974614325	20.2359761998	28.5780993413	20.5228246347	30.9054937211	28.0872213876	26.1477393711	22.7146241274	8.4062354046	32.9472378243	17.7899602816	12.507940559	33.6644396128	28.5664620198	30.893887892	38.306400714	27.1266259598	26.5805083775	36.4490027347	30.2885590065	26.4775622226	29.2127511377	21.2221159182	16.8499000373	8.4579992245	25.7982477615	19.8915266137	8.3508722562	16.9312140045	27.788799965	34.8188085549	39.4200695272	19.5385501538	26.4870842758	13.973253893	30.6144475462	18.8906967647	7.8756981978	33.1991457708	9.1449050001	15.5709927785	18.3172012465	18.2162100938	14.2582488912	20.2500026085	35.3745198077	39.8011714768	27.5975723942	10.6467130019	nan	nan	nan	13.9952174019	19.6263878289
RL	35.1470454026	8.6085245239	35.7016288103	18.1342750694	23.924912693	16.157836207	24.1142568554	24.6373512849	23.530796318	22.012267289	26.089741952	31.4198082901	13.7981657702	20.0919382945	22.7054855471	25.2792988615	4.3506404927	0	18.7382606997	16.9279526576	20.0766660113	18.3520113016	16.0308132284	15.5984011261	17.267792983	19.7746678511	19.5087634581	35.5573400779	20.2212305906	26.6668022104	20.0545263255	30.7186496916	25.6382671092	26.1570057251	22.3308753257	10.4226609011	29.7269743834	16.7454414677	13.8557663446	34.7895844631	29.2328469736	28.7628038174	38.7590025885	28.4554063462	27.0586433259	33.4929473971	30.63041193	24.9121910637	29.9066286252	22.0451879845	15.8833425578	5.5245424726	26.4248032433	18.9970712367	10.3472695032	14.8054490801	24.5656719161	31.7008121597	36.1348890383	20.9482451521	23.3413512016	10.7190089246	30.6834058147	15.5627806139	6.2914863707	30.0733569594	9.6409371132	14.6412273923	17.7053091827	15.49513987	13.5906972173	20.0659513853	35.8771830779	40.5272001327	27.7961917063	9.1357699351	nan	nan	nan	12.8744849181	17.0298387988
Pall	44.8830613035	22.6373991392	41.6220934707	32.14379311	30.3287759374	25.030619047	31.3518141858	20.393682333	28.2062051481	28.1266606986	21.2461648503	41.4440823861	28.199052374	32.0118670259	8.2167753137	8.2507123638	21.539728056	18.7382606997	0	6.6923797164	24.8707434573	29.4640460332	22.8121610134	23.9806384496	20.1701270673	17.2932093813	19.1884997289	40.9200584489	27.0000054591	20.5314198326	28.3632096372	33.318504628	21.0140709823	30.1718519611	30.8126355547	27.277393086	21.004270418	25.1149075242	27.2112058935	43.2823252746	37.0524463366	24.2630111723	43.2816045522	38.0788528699	33.6024022739	23.806518602	36.3126139025	26.56574688	37.1676103992	34.3311690717	28.1852821539	17.3378067178	39.6663624602	25.2037636483	24.3631160037	21.1977462752	13.293035924	16.3116734532	22.6478249371	32.7052397886	16.4232242385	14.7937882211	34.6524399471	15.6552587053	19.0342507197	14.7434441583	21.5756071125	23.9836387605	31.6346863663	10.1942942898	26.4443614088	33.8912209415	46.6337939436	50.8847484596	40.243472086	19.1094483089	nan	nan	nan	20.5523742144	10.5950757027
Pro	46.7312930885	22.5842047014	44.6796153176	31.9849531418	29.3367743247	25.0427330334	30.6257309215	17.6201627114	28.8701898299	27.0778973788	17.0613225801	42.9704110468	27.7688765271	32.9838840719	8.1323844267	11.156519375	20.0495715753	16.9279526576	6.6923797164	0	26.9504749731	30.0985960541	21.837062739	23.3894324748	18.8882173289	18.276656592	17.8344487335	43.7697291143	29.8921563008	22.4915576105	30.0940577466	35.7899041982	19.9941835384	33.3331024629	29.9402449014	26.0721887574	18.3788113544	25.5483765294	27.5324406036	44.9721376125	38.1671658719	25.2123527338	46.0855802417	38.7574185274	35.3325474176	22.7927927861	38.0426360161	26.3970367617	39.687425855	35.3839355716	27.6440612012	14.9098412424	40.1230868472	27.0092485968	24.0408743267	19.4615626933	10.6719343808	17.0601250717	21.9758832672	33.4824834807	12.3945048782	11.4962273114	37.9258965378	11.055096884	17.844596945	15.2696197985	21.3300755557	24.2415598303	31.5541443048	9.7879156635	25.9783637724	34.1144876127	48.0956866507	52.4562816006	41.2239034419	17.4987521144	nan	nan	nan	21.0786424057	12.997196478
PaS	33.3798293482	15.6919771732	32.2470896545	21.1429968425	37.5501033369	27.1073679407	36.566287448	40.1687553942	33.5707535916	35.5043336485	41.5440897796	31.3071902791	25.6434870379	21.7786850546	32.0260256899	32.3492717865	21.1443133151	20.0766660113	24.8707434573	26.9504749731	0	10.3233465428	17.9201938495	14.3688595356	17.690732426	14.9264637591	21.1188223742	33.4054388621	15.3599282099	36.3807887927	7.3361668166	33.4716132136	39.3281242125	22.7308409565	32.9950479524	24.4730318094	43.4584893789	6.876590912	19.9752088098	35.5730962811	34.0659189537	40.388750684	37.6936349561	33.1438305471	30.3536591125	46.3426269858	34.1654664402	38.1421624198	28.3045811966	23.4997212147	17.127931197	23.7699460928	26.6310782254	6.3313122899	23.6815273543	30.2476138636	36.247555262	40.6804742751	46.670037802	25.5608823553	37.8525108244	27.7737282811	27.7158146182	31.9872603049	22.954981674	39.2933412388	22.2448187808	8.5751341713	18.904140283	20.0463590797	16.6434158249	20.2276878537	31.1051025415	35.833878543	23.8087038466	17.0910997043	nan	nan	nan	9.6941877934	16.0727474647
TF	27.4156026722	12.7150607706	27.9912038064	15.7569201985	33.3149908872	22.0767687578	31.9850033727	39.88895397	30.5453802936	31.8828129	42.2998055837	24.7055857525	22.3667329235	15.8416416759	35.580597215	36.0763551756	18.7703308155	18.3520113016	29.4640460332	30.0985960541	10.3233465428	0	19.6182744745	16.4060493709	22.287264283	22.08923102	27.2165932492	29.5273815543	12.4488918951	34.569817307	9.6968274927	30.0787554343	38.390959561	19.886753447	27.828363657	21.7391817063	44.7208468437	8.9980751706	14.3058178915	29.847829027	28.8992198861	38.3553919008	33.7186224019	27.9186989309	25.8582809488	47.0661380878	30.7671059277	35.6500937337	23.4847577205	17.0658985465	14.5672631603	21.9904861341	20.0995949776	9.9785639743	19.4651267137	27.6398457334	39.2131399414	44.0575182956	49.6035702943	20.1861226994	39.1740380585	27.2262188347	24.41709031	31.8335632243	19.9380666141	42.6679486334	18.6489480051	8.9403421028	14.0763237449	26.2047026597	13.906750208	14.35835747	24.8186795472	29.5560682861	16.2747964223	18.9813374957	nan	nan	nan	11.5069905968	23.1163397497
AITd	43.3048139432	15.5171926085	43.8566311968	19.7155651136	37.167770281	29.0025443907	37.3206665831	35.2149555009	36.4797159968	35.4678072396	34.9100572317	40.3604331066	26.354752817	28.4182027845	27.8883172505	30.4050337413	17.6826280591	16.0308132284	22.8121610134	21.837062739	17.9201938495	19.6182744745	0	7.4442000031	11.6254689247	15.1559440631	13.7739142781	44.6681591005	27.431604533	37.6494762971	21.7539177071	41.5169591006	37.1373792886	34.0988487668	35.4030312473	22.2382961955	38.3083263225	15.6321430994	23.9146921813	44.7182603636	40.937587002	40.4275802922	48.8911110033	39.9999562462	38.0557865708	42.9009996791	41.764702891	37.785295535	39.0205738933	29.0473226428	10.930337244	19.2197237606	30.3239169504	18.137996365	23.4836157323	27.884719775	31.0974211174	37.6081838679	42.8563423903	31.5602281575	31.2455483261	22.3624997889	39.1416570345	25.9006325234	20.5904665629	35.6469787078	22.4434588879	14.7372628675	17.1792658915	15.4932455493	10.7313863416	21.567228417	40.9277819547	46.3459993771	31.1942136164	10.1958993657	nan	nan	nan	12.5980205383	16.9632013194
AITv	41.1430417978	14.3434658067	41.4001733787	19.0780493199	36.8831511459	28.0336876393	36.7926838602	36.5420726617	36.1043068923	35.1112403344	36.4859332069	38.146439048	25.7213486501	26.6219832601	29.4927865238	31.5656573338	16.9741881545	15.5984011261	23.9806384496	23.3894324748	14.3688595356	16.4060493709	7.4442000031	0	10.9173864276	14.3724252538	15.3606567265	42.4890485643	24.8006147986	37.5288483833	18.4699684544	40.2661457678	38.3300654219	31.9609947511	34.8462352694	21.6829088963	39.8719870868	12.9155096604	22.1521874949	42.7148673357	39.4523822108	40.891375756	46.7344423311	38.3076455266	36.5431859641	44.3304030641	40.4963290742	38.2294375186	36.6833531232	27.0434291465	9.2711901455	19.3185979969	28.9014804881	15.1681590989	22.4389012837	28.2176869646	32.8594577942	39.1382349214	44.392883669	30.0937716201	32.8766171363	23.2925544283	36.8144450991	27.3468752589	20.1351999441	37.1649953475	22.0415399485	12.1665975318	15.440735205	17.4615039436	10.3462534376	19.5228556695	38.1902128926	43.8417951215	28.2022296637	10.6823789394	nan	nan	nan	10.2489801674	17.0659885633
