Distances provided by Rembrandt																																																																																												
																																																																																												
	F6	V3A	PIP	OPAI	PIR	TEav	ENTO	TEOm	7op	POLE	PBc	F1	F2	1	DP	7B	TEpv	MT	46v	F7	PERI	ProStr	29-30	12	TPt	TEam-a	25	45B	F3	TEad	OPRO	F4	FST	23	Gu	MW	TH-TF	V6A	STPr	46d	24d	8B	13	PBr	MIP	11	V2	AIP	V6	LB	Core	V4	10	24b	TEam-p	24a	9-46v	24c	8l	ProM	45A	IPa	SII	TEpd	9	MST	MB	LIP	44	STPi	5	INS	3	7m	PGa	2	8m	V1	31	F5	TEO	VIP	V4t	V3	7A	32	9-46d	Pi	STPc	8r	SUB	14
PBc	43.6010394013	27.4376618905	26.1833178873	34.7901519086	28.4017376214	34.0863082886	33.8655294159	21.2320364206	18.4827161601	33.2824678016	0	30.5779798623	38.9292575455	26.7120344698	30.027016646	24.1265798603	23.2792402204	20.7762077805	43.5441540008	43.8987439979	32.7503976256	23.0103909119	26.7985239671	38.7807560276	13.8747561706	25.1755210986	37.4878449732	36.2389153941	38.2450872772	30.2476789322	30.2989252057	29.8142802291	17.1655184487	29.0292249157	33.9755930247	24.9073999821	28.1867841375	28.0837949217	22.644002522	45.5545349174	36.4247390136	37.0126859623	37.129976415	19.8035502424	29.1671883334	46.3548516905	28.1731984892	20.624761539	30.1815428121	13.7702775073	16.1395252124	24.0546582374	51.1594555452	39.4865956916	24.5880764229	39.6732603315	39.848340658	44.8461750067	36.3809434258	33.8868872135	37.9434690698	22.5999824451	24.1346793597	25.9433541188	48.5220653076	11.1995326035	22.1550333556	26.0089520073	28.6055356012	7.7897663934	31.3409329042	18.7553206124	33.2022969837	32.4199731531	23.0949413773	30.1580468573	37.2751572571	30.6887101711	29.1395948929	31.7728923245	25.1125080506	21.2818699453	24.9709315756	28.3721950113	18.3434181005	45.7362249364	40.9251592496	28.2259419146	7.9086664116	35.4387682909	25.0645171594	45.2816302033
F1	23.6855825505	31.3868305911	25.3882401267	29.455856422	30.3947676767	43.4374174306	40.2159745281	33.4870426886	18.6697320951	38.835059041	30.5779798623	0	14.9959208408	17.4700569955	32.00391918	21.4144989524	35.6215159451	32.0452760757	30.6228425886	23.5223120037	40.0955817291	28.2405557934	19.2651993137	28.4637301571	22.7331715379	36.3590234261	30.1018990352	25.8984097182	16.4490845447	41.4108351053	28.9961326344	11.6194227993	29.4205247166	11.7049110173	29.5406451732	20.6335083348	37.2044683711	25.9096156518	33.8530357344	30.0524982465	17.6216014752	18.1424722437	28.5430967643	34.8540752062	23.0769252503	33.0765381268	38.0171930838	16.2772810476	33.0487278712	33.0418585586	32.6240630506	35.5096997057	38.0870528402	22.0868054924	37.5496003907	23.3957919078	28.1499980196	29.091003101	25.2737547867	28.5553145447	29.9441506564	33.9351231435	20.6703087173	38.131815246	30.9399220862	24.9030909142	32.0976050019	25.2465411548	19.7307454459	31.1302439805	19.1473947921	21.240297078	11.581742914	23.7045885308	33.277012312	26.140488149	21.794317351	35.6041086956	19.3124839317	23.5413563582	37.3064188719	17.6911313079	34.795740189	38.3475082712	23.0436293667	31.4264915401	26.1553751467	33.8832105555	26.1710089417	22.5004593661	36.4505678719	34.112111684
F2	10.4701682361	41.9523073791	35.0692902216	24.2831788637	29.1334108967	44.0656269804	41.0010637124	41.9281765845	28.9973408881	37.9221087644	38.9292575455	14.9959208408	0	26.6182650552	42.8769143002	31.3942363987	42.5490385139	41.7754113129	20.7142058292	10.7097137374	40.5142910907	36.2833352158	25.8274767649	21.6863613321	34.2605326072	39.3081185194	23.3492056292	22.0244140935	3.3149649525	43.8519411783	26.5002128537	10.9331411082	37.8616586125	14.6879758128	29.4810194797	24.9186666855	44.5554631222	35.446166435	36.6649582188	19.0470022371	7.3809681963	9.3665805663	22.0972371389	38.4938472903	33.049215924	22.4726765883	46.3697628056	26.7858635008	42.8240183947	39.1264076523	37.1213063056	44.7021412876	27.1212801463	12.0741037419	43.5223482956	13.2080564122	21.5563885728	18.1211607653	19.9589742829	29.6251325977	25.3392227133	37.396661209	26.5605866464	45.7216164587	18.9362213299	35.4152493317	34.3623138853	35.2311606389	18.7318926968	38.9081998934	29.1152836626	25.9318435026	15.8316684604	33.6748602053	35.943220697	31.4123773653	13.3024121459	45.8177497683	26.422327003	26.5581097956	46.5558772972	27.8380637743	45.3937942604	47.3847639626	34.3183198188	20.6605951514	16.8197800495	33.8759575082	36.4101756854	16.1893333859	40.3637239997	24.3402477509
1	32.3557637344	31.1236210985	27.1982253733	29.3239618879	26.8187658857	38.907008356	36.9578826687	29.866173571	11.804151772	34.7866535848	26.7120344698	17.4700569955	26.6182650552	0	31.9739590111	10.271435552	31.2100584426	28.8475936046	33.6104600663	32.5478669753	36.2623371938	27.4676095987	23.4728398635	29.0694200151	19.6169678772	31.25687421	31.434831577	26.109831895	26.5016196297	36.3366375184	26.3164787975	17.3826797285	25.799655599	19.2708655154	24.4755282286	22.4417326081	34.8126929018	28.9355390994	28.5773534426	35.4282262605	25.4074849252	25.973669106	29.1892586715	29.7037281113	27.3484921976	37.2551806502	35.223842081	9.0877819126	33.9556894004	27.8160456169	27.4428631983	32.326975902	42.404476342	29.3845129421	32.4796470928	30.032945637	29.7313393747	35.0096825768	26.2518599266	23.2936223822	28.4261935608	28.8561597843	12.7085403853	34.1658623454	37.9341028199	21.8694445086	26.7970045404	26.394205294	18.5057651781	26.6909768177	22.8520016635	16.1350473234	22.9126351883	28.9744997927	28.2573336613	17.1510003005	26.6646338402	35.2832766168	24.2628211903	19.3226047538	34.0585917929	19.9388005976	32.5886168854	35.6815285154	17.7323721816	36.6449011643	30.5236697164	29.3488746689	23.0296381454	25.3331155771	31.7350929179	37.352816124
DP	50.8765094264	13.839750393	11.9614789672	47.1674800615	44.5896573565	49.482102692	45.6973797509	26.7121738814	23.8719664038	50.0855991137	30.027016646	32.00391918	42.8769143002	31.9739590111	0	27.3629341059	32.2915447298	18.3970771439	55.1055556803	51.4249609411	46.2330909288	21.5008513214	22.8381919809	51.7830071871	17.668387473	41.7453583653	48.8860332881	48.7321994164	43.1173927617	45.9477626035	45.4925276043	37.4293527325	25.9433300832	30.4917026883	48.2762436821	27.3058538051	32.6643940944	16.3037767841	41.8714413084	56.0619265966	43.5187362103	45.2950004514	50.1669497347	43.1454781781	18.8644357832	57.2753639957	26.0537185738	24.4516329667	17.3611696524	38.3254811328	39.2078399559	24.6637572504	62.0966913754	46.7676133874	35.9724440153	47.564710153	52.0803132513	54.3172194545	48.6003527709	47.4394169431	51.8164429725	39.1801417925	35.3053521538	32.6266368683	58.025469612	20.9715514983	42.6894652951	11.1556405715	41.4490365519	33.4068657757	26.7604854487	34.4120776995	30.6715372213	22.4257737037	40.4052536952	40.546631881	47.2605660344	17.8198733903	22.775599774	44.3382572798	25.4673840271	15.4658356407	16.3625975202	24.5889046723	20.3785041538	55.5149109184	51.7315657948	46.4304109354	23.5900427993	46.7567391502	37.7855936015	56.5165948902
7B	37.1724239434	26.5146671884	23.6222869422	33.0491107905	30.0218924597	41.0138671513	38.4411386949	27.7609894122	6.1465860066	37.8356540799	24.1265798603	21.4144989524	31.3942363987	10.271435552	27.3629341059	0	30.5637202265	25.2671446786	37.6878180529	37.3645271843	38.1760389259	24.1899182184	24.1755145735	32.8191901924	12.0254409075	33.2385761592	35.4736927336	30.1538491938	31.2775909732	38.3191410021	29.731422347	22.1993399375	23.6944714403	23.0802704831	26.4615547098	23.5336564644	32.3125402668	26.0039786314	31.0597474658	39.8858752569	30.2241451342	30.7226352985	33.0763734147	32.1033228089	26.5933283295	41.5939164039	31.597092746	5.4596992745	29.3626737015	29.2872246516	29.3006756593	28.8002302479	46.7639322403	34.2011731511	33.4652062478	34.7815583095	33.6909354836	39.6577178076	30.2958772255	25.094382214	31.8313382363	30.6630375056	13.8937280016	32.6405903585	42.52613481	17.4514280053	29.6784512489	22.7426487487	22.4079280855	26.5799970376	25.3756068872	18.8232996415	26.3013269387	28.8264990548	30.3938500711	17.0462450894	31.2540005684	30.5501676216	25.3106222219	21.8386535206	30.7120901986	18.2209770726	28.2995104335	31.7796650372	9.2541431558	41.2870554941	34.9040025609	32.5044988137	18.7251067066	29.5137576777	32.6924910177	41.7234801513
TEpv	45.5937158545	27.1210123819	30.1901944836	30.2965152457	22.9802724894	19.929291279	18.7167152732	9.9668974217	24.7022507518	24.0286098074	23.2792402204	35.6215159451	42.5490385139	31.2100584426	32.2915447298	30.5637202265	0	16.044481053	43.3945879918	46.1958862271	18.9237175604	18.0411956323	28.0975065275	37.7759663216	25.873635472	12.8543022495	33.54830171	36.3553477621	41.4877086892	15.4871903241	25.9713317178	33.2184188978	7.8316691534	32.4047114954	32.3622306269	23.3971851975	11.223655355	29.7818782578	15.8701022239	45.4519023251	38.8319698292	39.3312755138	34.6171954524	19.5577011189	32.6591706552	44.9459877958	20.5792969866	26.8687390155	29.224295929	18.6235866101	17.4849350129	11.9619777745	49.1716446111	40.7821672095	8.3395240967	40.4259754203	40.1796257812	44.7785030946	37.4867571716	33.5439074369	36.7112547155	11.3126398994	27.8442573449	7.1748861526	49.1836706073	18.5949819432	18.4260486845	31.6401002836	29.4645903731	18.5650974142	37.7957492398	19.1059683915	37.8208160788	36.1345479612	13.5823108293	33.4426628873	39.2029599924	28.7442976228	32.2476665475	32.3367772702	12.0269001532	26.1796321554	19.3594983885	18.6865952882	30.1083039823	44.6881895878	42.1728646725	21.7638642825	19.9675730959	36.8491604456	8.7663672034	42.8743515968
MT	47.5030517268	17.3075857099	19.9807394206	37.9501816994	32.6648834908	35.1138971165	32.6560555635	9.3135040781	19.8292683339	36.8905708683	20.7762077805	32.0452760757	41.7754113129	28.8475936046	18.3970771439	25.2671446786	16.044481053	0	48.3509756806	48.0457776085	32.7517666999	14.8356272218	23.6589137169	43.5929820067	18.7447880024	26.6547625336	40.5717526913	41.1145332095	41.4273610184	30.123125049	34.5355504554	33.5160858349	10.7166105182	30.0892290587	38.6396616161	22.6962120628	20.1210443341	20.9109469863	27.6780450954	50.1448837883	40.1314322734	41.1859808607	41.4319849824	29.7543329343	23.780552358	50.5445645808	17.3043921716	21.8033438244	20.096407071	25.2943914717	26.050899017	11.4939144437	55.2149385192	43.0104823688	18.4538597675	43.2133884602	44.7360406892	48.9970369134	41.2565612411	38.6757785489	42.6635968687	24.7316267486	28.754185666	15.147530306	53.0741564244	12.0175028506	29.2632023651	21.1568852275	33.5398407857	21.4933660131	30.0783506602	23.3433863647	32.7462831468	27.3990427362	26.2540622495	34.4216625995	41.8268000906	19.2053864637	26.1321982706	36.6398214978	10.1983893851	18.0343795002	4.9269540161	16.5237796814	22.8467843533	49.679361785	45.6826860945	33.2757064501	14.229652184	40.3331113584	23.2668840084	49.0327204482
46v	12.7939056868	53.1566212301	48.3923282785	17.2980088434	22.608912528	38.2506655198	38.3588400542	45.3905856636	36.1060351857	31.5751066925	43.5441540008	30.6228425886	20.7142058292	33.6104600663	55.1055556803	37.6878180529	43.3945879918	48.3509756806	0	13.0353659903	36.4634659359	44.5165924375	37.8008007641	6.8084756352	44.7614949436	35.2619006326	16.3658744391	14.1839786505	19.1482731271	38.5230910114	19.0662494355	19.371124953	41.5205402636	27.9043873222	20.080938829	33.2450771152	47.9337668176	48.7857970122	31.7469096615	4.2682342479	14.729788868	12.4839115894	10.1819553876	34.5152494517	47.5328078352	7.7559431371	52.8675142304	35.0015809703	54.9141681965	36.687255195	34.1359113394	49.7663054114	12.0490289771	13.867587992	42.7323368254	13.0000778989	6.8156748039	8.3254125919	13.6996382323	20.3378751388	12.8862559937	34.3403343419	26.6476389658	46.1724213651	8.638138537	42.8722642901	29.3748820556	48.1975874768	15.2798899674	40.5828974745	45.8694936003	26.204961675	34.1816678268	47.6557136871	32.0168019194	28.0921077511	12.553857055	56.5642525146	39.5678320822	21.8072676732	50.7273278104	40.6120240444	52.5456994757	54.0868926947	43.8507227175	9.978652611	9.8228982495	27.2656259122	42.6841840643	13.4030580174	39.1098468035	11.6229313461
F7	3.8142375888	50.373586011	44.1518163839	22.137099361	28.1837843416	43.7365395781	42.3196541153	46.7814432177	35.287834779	37.1499785061	43.8987439979	23.5223120037	10.7097137374	32.5478669753	51.4249609411	37.3645271843	46.1958862271	48.0457776085	13.0353659903	0	40.8785587788	43.1850107636	33.7764017921	15.9982107014	41.8770343462	40.2507340467	20.5744167715	18.8608392519	9.9404016211	44.1089773443	24.8447345875	15.6506900927	42.7149252457	22.4523050455	26.911708137	31.0879797122	50.4479864341	44.4895701497	37.0872330698	9.6086362552	8.7724336951	7.2691021596	17.365389246	39.3607978606	42.5101284054	13.9876355477	52.6527766175	33.2526037301	51.6529330419	40.9031801715	38.4723822558	50.4917728232	17.9569377164	10.8142830287	46.160772196	10.9748781089	16.4641469	10.0362573396	16.451604054	27.1864441462	21.3567473154	38.7639139155	29.1439450512	49.2842083829	8.6311679453	42.1286372487	34.7152054639	44.2467499399	18.0360983892	42.969014687	39.2959586866	28.4137503186	26.3089954726	42.5132390843	36.854284327	32.3207825493	9.0559003979	54.1361734506	34.4450720863	26.4147635109	51.8656217593	36.6611865075	52.2405014036	53.813004257	41.4461093817	13.1303734879	9.4148831588	32.9603385057	42.5570786113	12.5128692116	42.7535498771	17.3785621114
PERI	40.0845551768	39.6971744497	40.3522738469	20.8179536487	14.1073294995	5.9018167017	4.5082564524	26.3969975021	33.4758244468	9.4184201449	32.7503976256	40.0955817291	40.5142910907	36.2623371938	46.2330909288	38.1760389259	18.9237175604	32.7517666999	36.4634659359	40.8785587788	0	28.4862549282	32.2959621377	31.5246316533	38.460143536	11.6262486683	23.8768793513	32.257562688	38.7302661718	11.1130303173	17.6498614502	32.8297806032	23.5707443639	33.4192615451	26.6210198878	25.3095252795	16.2304817685	39.5609690127	13.2871218992	37.768905743	34.5609314525	35.3452580844	26.6942894026	19.6218979928	41.3882546414	36.0787539564	31.9711142493	34.6145060577	41.2333542697	23.2699486777	20.6540469079	27.7206353396	39.748929684	34.3722014791	18.7121163399	33.2976862835	35.1915902924	36.4883493999	34.5133780941	28.7625302249	31.5311863241	11.0208308254	30.4047269462	23.437305135	41.8042585128	31.7033824544	15.7496346498	41.4672606487	27.2318376281	26.6281994199	46.1974896348	22.6372494372	41.0909310052	43.6561818358	10.5348059311	33.9364649213	35.8426799203	41.7760728126	36.9378056997	31.3049042257	30.6257537906	34.6516200294	36.8501749972	32.1781709514	41.2867183991	35.6420282625	37.2247326985	12.7343138059	32.0037628279	34.1179099159	10.2879302388	33.431666321
