#Taken from CoCoMac database (www.cocomac.org), the distance between two areas is taken to be the distance between the center points, which is computed via a sophisticated method of Thom Oostendorp

	V1	V2	V3	VP	V3A	V4	VOT	V4t	MT	FST	PITd	PITv	CITd	CITv	AITd	AITv	STPp	STPa	TF	TH	MSTd	MSTl	PO	PIP	LIP	VIP	MIP	MDP	DP	7a	FEF	46
MSTd	13.495	17.33	15.656	20.925	11.069	15.996	16.773	9.304	11.618	17.321	15.676	19.83	22.858	26.7	28.575	29.441	25.461	24.909	18.121	15.616	0	8.601	15.327	10.652	12.5	10.386	16.461	20.174	14.063	12.3	36.699	40.028
MSTl	19.112	16.336	23.402	19.911	18.498	15.513	10.509	7.425	5.124	9.189	7.587	12.009	14.606	18.537	20.419	21.476	17.341	16.783	12.361	13.68	8.601	0	22.344	17.741	20.531	18.775	24.338	28.025	22.217	17.587	33.25	35.928
PO	8.973	25.205	15.161	26.89	14.36	27.529	27.901	21.608	23.501	29.41	27.717	31.698	34.451	38.278	39.866	39.747	39.433	36.914	27.205	22.61	15.327	22.344	0	7.555	17.591	12.11	8.172	12.072	19.56	23.413	48.493	51.715
PIP	4.904	19.344	7.805	20.363	6.805	20.736	22.301	15.732	18.411	25.566	22.723	26.39	30.211	33.705	36.215	36.342	35.037	33.399	22.967	19.986	10.652	17.741	7.555	0	15.732	12.203	10.551	16.303	13.877	19.986	46.806	50.131
LIP	19.298	28.663	17.584	30.662	12.477	25.135	29.05	21.047	24.117	29.21	28.035	32.222	35.084	39.035	40.531	41.616	36.21	36.257	30.515	27.043	12.5	20.531	17.591	15.732	0	5.819	17.362	19.994	7.556	9.419	42.63	46.21
VIP	15.454	25.784	16.543	27.96	11.622	24.08	26.759	18.997	21.796	26.984	25.899	30.053	32.841	36.884	38.133	38.845	35.33	34.161	27.273	22.93	10.386	18.775	12.11	12.203	5.819	0	12.033	14.665	9.666	13.446	41.121	44.651
MIP	13.004	27.907	18.157	29.813	17.356	29.74	30.465	23.749	26.132	32.15	30.421	34.378	37.325	41.293	42.767	42.854	41.457	39.605	30.181	25.708	16.461	24.338	8.172	10.551	17.362	12.033	0	6.259	20.298	23.818	47.16	50.676
MDP	18.594	33.179	23.91	35.086	22.817	34.31	35.352	28.217	30.687	35.596	34.934	38.97	41.358	45.534	46.402	46.826	44.449	42.486	34.898	30.207	20.174	28.025	12.072	16.303	19.994	14.665	6.259	0	23.472	26.347	47.257	50.887
DP	17.428	27.092	14.337	28.081	9.005	20.93	27.385	19.33	23.844	30.941	28.121	30.339	35.894	39.336	41.989	42.76	39.289	38.67	30.483	28.139	14.063	22.217	19.56	13.877	7.556	9.666	20.298	23.472	0	14.155	47.625	51.212
7a	23.416	29.532	23.021	33.181	17.978	28.188	27.39	21.51	21.836	26.474	25.174	29.523	32.193	36.124	37.718	39.03	32.01	33.5	29.097	27.778	12.3	17.587	23.413	19.986	9.419	13.446	23.818	26.347	14.155	0	39.407	42.812
FEF	49.578	47.566	51.846	52.854	47.157	48.667	41.448	40.471	37.411	31.467	37.329	41.093	36.474	40.417	35.717	37.806	32.945	29.534	41.128	42.093	36.699	33.25	48.493	46.806	42.63	41.121	47.16	47.257	47.625	39.407	0	10.145
46	52.619	49.877	55.35	55.374	50.661	51.306	43.783	43.21	39.927	33.22	39.664	43.011	37.746	41.34	35.418	37.581	33.701	29.915	42.9	44.285	40.028	35.928	51.715	50.131	46.21	44.651	50.676	50.887	51.212	42.812	10.145	0
